product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
310-ZS-CLASSIC-RH-4CT,WC-26071/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-TBCAP,WC-26071/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-PREMIUM-RH-4CT,WC-26057/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,36,36,36,36
100-TBCAP,WC-26057/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC-25607/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,26.26,26.26,26.26,26.26
310-ZS-PREMIUM-RH-4CT,WC-25607/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,31.06,31.06,31.06,31.06
100-TBCAP,WC-25607/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-PREMIUM-RH-4CT,WC-25592/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,31.06,31.06,31.06,31.06
100-TBCAP,WC-25592/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC-25290/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,26.26,26.26,26.26,26.26
100-TBCAP,WC-25290/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC-24798/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-TBCAP,WC-24798/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC-24775/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-TBCAP,WC-24775/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
600-300-ZS-PULSE-DDMA,WC-24133/600-300-ZS-PULSE-DDMA,1,1,600-300-ZS-PULSE-DDMA,1,1,59.95,59.95,59.95,59.95
310-ZS-CLASSIC-RH-4CT,WC-23907/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC-23761/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC-23551/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC-23079/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-ZS-PULSE-MBR,WC-23014/100-ZS-PULSE-MBR,1,1,100-ZS-PULSE-MBR,1,1,59.95,59.95,59.95,59.95
500-900-MASK-FREE,WC-23014/500-900-MASK-FREE,1,1,500-900-MASK-FREE,1,1,0,0,0,0
600-300-ZS-PULSE-DDMA,WC-22977/600-300-ZS-PULSE-DDMA,1,1,600-300-ZS-PULSE-DDMA,1,1,59.95,59.95,59.95,59.95
300-DDIA-PRO,WC-22951/300-DDIA-PRO,1,1,300-DDIA-PRO,1,1,48.03,48.03,48.03,48.03
300-ZS-PULSE-ZD,WC-22669/300-ZS-PULSE-ZD,1,1,300-ZS-PULSE-ZD,1,1,99.95,99.95,99.95,99.95
310-ZS-CLASSIC-RH-4CT,WC-22227/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC-22013/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,51.8,51.8,51.8,51.8
300-ZS-PULSE-GA,WC-21989/300-ZS-PULSE-GA,1,1,300-ZS-PULSE-GA,1,1,99,99,99,99
310-ZS-PREMIUM-RH-4CT,WC-21989/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,51.8,51.8,51.8,51.8
310-ZS-CLASSIC-RH-4CT,WC-21918/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC-21688/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC-21156/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
310-ZS-CLASSIC-RH-4CT,WC20893/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,30.5,30.5,30.5,30.5
500-900-MASK-FREE,WC20893/500-900-MASK-FREE,1,1,500-900-MASK-FREE,1,1,0,0,0,0
310-ZS-CLASSIC-RH-4CT,WC20891/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,30.5,30.5,30.5,30.5
310-ZS-PREMIUM-RH-4CT,WC20625/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,51.8,51.8,51.8,51.8
600-300-ZS-PULSE-DDNM,WC20058/600-300-ZS-PULSE-DDNM,2,1,600-300-ZS-PULSE-DDNM,1,2,59.95,119.9,59.95,119.9
600-300-ZS-PULSE-DDMA,WC19491/600-300-ZS-PULSE-DDMA,2,1,600-300-ZS-PULSE-DDMA,1,2,59.95,119.9,59.95,119.9
310-ZS-PREMIUM-RH-4CT,WC18917/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,36,36,36,36
310-ZS-CLASSIC-RH-4CT,WC18095/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
600-300-ZS-PULSE-DDNM,WC17723/600-300-ZS-PULSE-DDNM,2,1,600-300-ZS-PULSE-DDNM,1,2,59.95,119.9,59.95,119.9
310-ZS-PREMIUM-RH-4CT,WC17723/310-ZS-PREMIUM-RH-4CT,1,1,310-ZS-PREMIUM-RH-4CT,1,1,36,36,36,36
100-ZS-PULSE-MBR,RMA 230/100-ZS-PULSE-MBR,1,1,100-ZS-PULSE-MBR,1,1,59.95,59.95,59.95,59.95
100-TBCAP,RMA 219/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
300-DDIA-PRO,1505-10/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
600-100-448-DD,RMA 35/600-100-448-DD,1,1,600-100-448-DD,1,1,0,0,0,0
300-DDIA-PRO,1505-9/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-8/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-7/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-6/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-5/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-4/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-3/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-2/300-DDIA-PRO,100,1,300-DDIA-PRO,1,100,48.03,4803,48.03,4803
300-DDIA-PRO,1505-1/300-DDIA-PRO,43,1,300-DDIA-PRO,1,43,48.03,2065.29,48.03,2065.29
110-FLOSS-YD-72,1052-/110-FLOSS-YD-72,1,1,110-FLOSS-YD-72,1,1,37.44,37.44,37.44,37.44
600-100-448-DD,1049B/600-100-448-DD,1167,1,600-100-448-DD,1,1167,0,0,0,0
830-POUCH-CL,1049B/830-POUCH-CL,1887,1,830-POUCH-CL,1,1887,0,0,0,0
600-100-442-DD,1049B/600-100-442-DD,720,1,600-100-442-DD,1,720,0,0,0,0
100-FINGERB-144,5026/100-FINGERB-144,5328,1,100-FINGERB-144,1,5328,0.57,3036.9599999999996,0.57,3036.9599999999996
100-819-I-DE,5015/100-819-I-DE,2,1,100-819-I-DE,1,2,76.32,152.64,76.32,152.64
870-CREST-TP-ADULT,5002/870-CREST-TP-ADULT,1000,1,870-CREST-TP-ADULT,1,1000,0.58,580,0.58,580
100-DENTUREBRUSH,4983/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
100-236-Z,4981/100-236-Z,1,1,100-236-Z,1,1,80.44,80.44,80.44,80.44
100-FINGERB-144,4967/100-FINGERB-144,1,1,100-FINGERB-144,1,1,77.56,77.56,77.56,77.56
100-819-S,4960/100-819-S,1,1,100-819-S,1,1,76.13,76.13,76.13,76.13
320-ZD-WF,4944/320-ZD-WF,1,1,320-ZD-WF,1,1,99.95,99.95,99.95,99.95
100-DENTUREBRUSH,4928/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
110-FLOSS-YD-72,4925/110-FLOSS-YD-72,1,1,110-FLOSS-YD-72,1,1,38.79,38.79,38.79,38.79
100-USO-1,4897/100-USO-1,1,1,100-USO-1,1,1,80.64,80.64,80.64,80.64
