"importId","name","code","country.alpha3Code","department.code"
28803,"Meridian","Meridian_Sutter County_CA","USA","Sutter County_CA"
28804,"Nevada City","Nevada City_Nevada County_CA","USA","Nevada County_CA"
28805,"North San Juan","North San Juan_Nevada County_CA","USA","Nevada County_CA"
28806,"Olivehurst","Olivehurst_Yuba County_CA","USA","Yuba County_CA"
28807,"Oregon House","Oregon House_Yuba County_CA","USA","Yuba County_CA"
28808,"Orland","Orland_Glenn County_CA","USA","Glenn County_CA"
28809,"Oroville","Oroville_Butte County_CA","USA","Butte County_CA"
28810,"Oroville","Oroville_Butte County_CA","USA","Butte County_CA"
28811,"Palermo","Palermo_Butte County_CA","USA","Butte County_CA"
28812,"Paradise","Paradise_Butte County_CA","USA","Butte County_CA"
28813,"Princeton","Princeton_Colusa County_CA","USA","Colusa County_CA"
28814,"Quincy","Quincy_Plumas County_CA","USA","Plumas County_CA"
28815,"Rackerby","Rackerby_Yuba County_CA","USA","Yuba County_CA"
28816,"Chico","Chico_Butte County_CA","USA","Butte County_CA"
28817,"Rough And Ready","Rough And Ready_Nevada County_CA","USA","Nevada County_CA"
28818,"Smartsville","Smartsville_Nevada County_CA","USA","Nevada County_CA"
28819,"Stonyford","Stonyford_Colusa County_CA","USA","Colusa County_CA"
28820,"Strawberry Valley","Strawberry Valley_Yuba County_CA","USA","Yuba County_CA"
28821,"Sutter","Sutter_Sutter County_CA","USA","Sutter County_CA"
28822,"Taylorsville","Taylorsville_Plumas County_CA","USA","Plumas County_CA"
28823,"Williams","Williams_Colusa County_CA","USA","Colusa County_CA"
28824,"Willows","Willows_Glenn County_CA","USA","Glenn County_CA"
28825,"Yuba City","Yuba City_Sutter County_CA","USA","Sutter County_CA"
28826,"Yuba City","Yuba City_Sutter County_CA","USA","Sutter County_CA"
28827,"Redding","Redding_Shasta County_CA","USA","Shasta County_CA"
28828,"Redding","Redding_Shasta County_CA","USA","Shasta County_CA"
28829,"Redding","Redding_Shasta County_CA","USA","Shasta County_CA"
28830,"Adin","Adin_Modoc County_CA","USA","Modoc County_CA"
28831,"Anderson","Anderson_Shasta County_CA","USA","Shasta County_CA"
28832,"Bella Vista","Bella Vista_Shasta County_CA","USA","Shasta County_CA"
28833,"Big Bar","Big Bar_Trinity County_CA","USA","Trinity County_CA"
28834,"Burney","Burney_Shasta County_CA","USA","Shasta County_CA"
28835,"Callahan","Callahan_Siskiyou County_CA","USA","Siskiyou County_CA"
28836,"Canby","Canby_Modoc County_CA","USA","Modoc County_CA"
28837,"Cassel","Cassel_Shasta County_CA","USA","Shasta County_CA"
28838,"Castella","Castella_Shasta County_CA","USA","Shasta County_CA"
28839,"Shasta Lake","Shasta Lake_Shasta County_CA","USA","Shasta County_CA"
28840,"Chester","Chester_Plumas County_CA","USA","Plumas County_CA"
28841,"Corning","Corning_Tehama County_CA","USA","Tehama County_CA"
28842,"Cottonwood","Cottonwood_Tehama County_CA","USA","Tehama County_CA"
28843,"Dorris","Dorris_Siskiyou County_CA","USA","Siskiyou County_CA"
28844,"Douglas City","Douglas City_Trinity County_CA","USA","Trinity County_CA"
28845,"Dunsmuir","Dunsmuir_Siskiyou County_CA","USA","Siskiyou County_CA"
28846,"Etna","Etna_Siskiyou County_CA","USA","Siskiyou County_CA"
28847,"Fall River Mills","Fall River Mills_Shasta County_CA","USA","Shasta County_CA"
28848,"Flournoy","Flournoy_Tehama County_CA","USA","Tehama County_CA"
28849,"Forks Of Salmon","Forks Of Salmon_Siskiyou County_CA","USA","Siskiyou County_CA"
28850,"Fort Jones","Fort Jones_Siskiyou County_CA","USA","Siskiyou County_CA"
28851,"French Gulch","French Gulch_Shasta County_CA","USA","Shasta County_CA"
28852,"Gazelle","Gazelle_Siskiyou County_CA","USA","Siskiyou County_CA"
28853,"Gerber","Gerber_Tehama County_CA","USA","Tehama County_CA"
28854,"Grenada","Grenada_Siskiyou County_CA","USA","Siskiyou County_CA"
28855,"Happy Camp","Happy Camp_Siskiyou County_CA","USA","Siskiyou County_CA"
28856,"Hat Creek","Hat Creek_Shasta County_CA","USA","Shasta County_CA"
28857,"Hayfork","Hayfork_Trinity County_CA","USA","Trinity County_CA"
28858,"Hornbrook","Hornbrook_Siskiyou County_CA","USA","Siskiyou County_CA"
28859,"Igo","Igo_Shasta County_CA","USA","Shasta County_CA"
28860,"Junction City","Junction City_Trinity County_CA","USA","Trinity County_CA"
28861,"Klamath River","Klamath River_Siskiyou County_CA","USA","Siskiyou County_CA"
28862,"Lakehead","Lakehead_Shasta County_CA","USA","Shasta County_CA"
28863,"Lewiston","Lewiston_Trinity County_CA","USA","Trinity County_CA"
28864,"Los Molinos","Los Molinos_Tehama County_CA","USA","Tehama County_CA"
28865,"Mcarthur","Mcarthur_Shasta County_CA","USA","Shasta County_CA"
28866,"Mccloud","Mccloud_Siskiyou County_CA","USA","Siskiyou County_CA"
28867,"Macdoel","Macdoel_Siskiyou County_CA","USA","Siskiyou County_CA"
28868,"Manton","Manton_Tehama County_CA","USA","Tehama County_CA"
28869,"Mill Creek","Mill Creek_Tehama County_CA","USA","Tehama County_CA"
28870,"Millville","Millville_Shasta County_CA","USA","Shasta County_CA"
28871,"Montague","Montague_Siskiyou County_CA","USA","Siskiyou County_CA"
28872,"Montgomery Creek","Montgomery Creek_Shasta County_CA","USA","Shasta County_CA"
28873,"Mount Shasta","Mount Shasta_Siskiyou County_CA","USA","Siskiyou County_CA"
28874,"Oak Run","Oak Run_Shasta County_CA","USA","Shasta County_CA"
28875,"Old Station","Old Station_Shasta County_CA","USA","Shasta County_CA"
28876,"Palo Cedro","Palo Cedro_Shasta County_CA","USA","Shasta County_CA"
28877,"Paynes Creek","Paynes Creek_Tehama County_CA","USA","Tehama County_CA"
28878,"Platina","Platina_Trinity County_CA","USA","Trinity County_CA"
28879,"Red Bluff","Red Bluff_Tehama County_CA","USA","Tehama County_CA"
28880,"Scott Bar","Scott Bar_Siskiyou County_CA","USA","Siskiyou County_CA"
28881,"Seiad Valley","Seiad Valley_Siskiyou County_CA","USA","Siskiyou County_CA"
28882,"Shingletown","Shingletown_Shasta County_CA","USA","Shasta County_CA"
28883,"Trinity Center","Trinity Center_Trinity County_CA","USA","Trinity County_CA"
28884,"Weed","Weed_Siskiyou County_CA","USA","Siskiyou County_CA"
28885,"Whitmore","Whitmore_Shasta County_CA","USA","Shasta County_CA"
28886,"Yreka","Yreka_Siskiyou County_CA","USA","Siskiyou County_CA"
28887,"Alturas","Alturas_Modoc County_CA","USA","Modoc County_CA"
28888,"Blairsden-graeagle","Blairsden-graeagle_Plumas County_CA","USA","Plumas County_CA"
28889,"Cedarville","Cedarville_Modoc County_CA","USA","Modoc County_CA"
28890,"Chilcoot","Chilcoot_Plumas County_CA","USA","Plumas County_CA"
28891,"Coleville","Coleville_Mono County_CA","USA","Mono County_CA"
28892,"Davis Creek","Davis Creek_Modoc County_CA","USA","Modoc County_CA"
28893,"Doyle","Doyle_Lassen County_CA","USA","Lassen County_CA"
28894,"Fort Bidwell","Fort Bidwell_Modoc County_CA","USA","Modoc County_CA"
28895,"Janesville","Janesville_Lassen County_CA","USA","Lassen County_CA"
28896,"Lake City","Lake City_Modoc County_CA","USA","Modoc County_CA"
28897,"Litchfield","Litchfield_Lassen County_CA","USA","Lassen County_CA"
28898,"Loyalton","Loyalton_Sierra County_CA","USA","Sierra County_CA"
28899,"Markleeville","Markleeville_Alpine County_CA","USA","Alpine County_CA"
28900,"Milford","Milford_Lassen County_CA","USA","Lassen County_CA"
28901,"Portola","Portola_Plumas County_CA","USA","Plumas County_CA"
28902,"Ravendale","Ravendale_Lassen County_CA","USA","Lassen County_CA"
28903,"Calpine","Calpine_Sierra County_CA","USA","Sierra County_CA"
28904,"Sierra City","Sierra City_Sierra County_CA","USA","Sierra County_CA"
28905,"Sierraville","Sierraville_Sierra County_CA","USA","Sierra County_CA"
28906,"Standish","Standish_Lassen County_CA","USA","Lassen County_CA"
28907,"Beckwourth","Beckwourth_Plumas County_CA","USA","Plumas County_CA"
28908,"Susanville","Susanville_Lassen County_CA","USA","Lassen County_CA"
28909,"Termo","Termo_Lassen County_CA","USA","Lassen County_CA"
28910,"Topaz","Topaz_Mono County_CA","USA","Mono County_CA"
28911,"Tulelake","Tulelake_Siskiyou County_CA","USA","Siskiyou County_CA"
28912,"Wendel","Wendel_Lassen County_CA","USA","Lassen County_CA"
28913,"Westwood","Westwood_Lassen County_CA","USA","Lassen County_CA"
28914,"Olympic Valley","Olympic Valley_Placer County_CA","USA","Placer County_CA"
28915,"South Lake Tahoe","South Lake Tahoe_El Dorado County_CA","USA","El Dorado County_CA"
28916,"Truckee","Truckee_Nevada County_CA","USA","Nevada County_CA"
28917,"Aiea","Aiea_Honolulu County_HI","USA","Honolulu County_HI"
28918,"Captain Cook","Captain Cook_Hawaii County_HI","USA","Hawaii County_HI"
28919,"Ewa Beach","Ewa Beach_Honolulu County_HI","USA","Honolulu County_HI"
28920,"Kapolei","Kapolei_Honolulu County_HI","USA","Honolulu County_HI"
28921,"Haiku","Haiku_Maui County_HI","USA","Maui County_HI"
28922,"Haleiwa","Haleiwa_Honolulu County_HI","USA","Honolulu County_HI"
28923,"Hana","Hana_Maui County_HI","USA","Maui County_HI"
28924,"Hauula","Hauula_Honolulu County_HI","USA","Honolulu County_HI"
28925,"Hilo","Hilo_Hawaii County_HI","USA","Hawaii County_HI"
28926,"Princeville","Princeville_Kauai County_HI","USA","Kauai County_HI"
28927,"Holualoa","Holualoa_Hawaii County_HI","USA","Hawaii County_HI"
28928,"Honokaa","Honokaa_Hawaii County_HI","USA","Hawaii County_HI"
28929,"Kaaawa","Kaaawa_Honolulu County_HI","USA","Honolulu County_HI"
28930,"Kahuku","Kahuku_Honolulu County_HI","USA","Honolulu County_HI"
28931,"Kahului","Kahului_Maui County_HI","USA","Maui County_HI"
28932,"Kailua","Kailua_Honolulu County_HI","USA","Honolulu County_HI"
28933,"Waikoloa","Waikoloa_Hawaii County_HI","USA","Hawaii County_HI"
28934,"Kailua Kona","Kailua Kona_Hawaii County_HI","USA","Hawaii County_HI"
28935,"Kalaheo","Kalaheo_Kauai County_HI","USA","Kauai County_HI"
28936,"Kamuela","Kamuela_Hawaii County_HI","USA","Hawaii County_HI"
28937,"Kaneohe","Kaneohe_Honolulu County_HI","USA","Honolulu County_HI"
28938,"Kapaa","Kapaa_Kauai County_HI","USA","Kauai County_HI"
28939,"Kaunakakai","Kaunakakai_Maui County_HI","USA","Maui County_HI"
28940,"Keaau","Keaau_Hawaii County_HI","USA","Hawaii County_HI"
28941,"Kealakekua","Kealakekua_Hawaii County_HI","USA","Hawaii County_HI"
28942,"Kihei","Kihei_Maui County_HI","USA","Maui County_HI"
28943,"Kilauea","Kilauea_Kauai County_HI","USA","Kauai County_HI"
28944,"Koloa","Koloa_Kauai County_HI","USA","Kauai County_HI"
28945,"Kurtistown","Kurtistown_Hawaii County_HI","USA","Hawaii County_HI"
28946,"Lahaina","Lahaina_Maui County_HI","USA","Maui County_HI"
28947,"Laie","Laie_Honolulu County_HI","USA","Honolulu County_HI"
28948,"Lihue","Lihue_Kauai County_HI","USA","Kauai County_HI"
28949,"Makawao","Makawao_Maui County_HI","USA","Maui County_HI"
28950,"Mountain View","Mountain View_Hawaii County_HI","USA","Hawaii County_HI"
28951,"Naalehu","Naalehu_Hawaii County_HI","USA","Hawaii County_HI"
28952,"Pahoa","Pahoa_Hawaii County_HI","USA","Hawaii County_HI"
28953,"Paia","Paia_Maui County_HI","USA","Maui County_HI"
28954,"Papaikou","Papaikou_Hawaii County_HI","USA","Hawaii County_HI"
28955,"Pearl City","Pearl City_Honolulu County_HI","USA","Honolulu County_HI"
28956,"Pepeekeo","Pepeekeo_Hawaii County_HI","USA","Hawaii County_HI"
28957,"Wahiawa","Wahiawa_Honolulu County_HI","USA","Honolulu County_HI"
28958,"Mililani","Mililani_Honolulu County_HI","USA","Honolulu County_HI"
28959,"Kula","Kula_Maui County_HI","USA","Maui County_HI"
28960,"Waialua","Waialua_Honolulu County_HI","USA","Honolulu County_HI"
28961,"Waianae","Waianae_Honolulu County_HI","USA","Honolulu County_HI"
28962,"Wailuku","Wailuku_Maui County_HI","USA","Maui County_HI"
28963,"Waimanalo","Waimanalo_Honolulu County_HI","USA","Honolulu County_HI"
28964,"Waipahu","Waipahu_Honolulu County_HI","USA","Honolulu County_HI"
28965,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28966,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28967,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28968,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28969,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28970,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28971,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28972,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28973,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28974,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
28975,"Honolulu","Honolulu_Honolulu County_HI","USA","Honolulu County_HI"
